"date","close","volume","open","high","low"

"2019/08/09","164.3700","2756441.0000","162.5400","166.3000","162.0500"
"2019/08/08","162.7000","5106005.0000","168.5700","168.6800","158.0000"
"2019/08/07","167.0000","5857961.0000","164.0000","167.4450","160.5500"
"2019/08/06","161.2400","8407653.0000","180.1000","181.7499","160.6200"
"2019/08/05","175.9400","5665541.0000","173.1000","178.2300","170.9900"
"2019/08/02","177.1100","5806924.0000","177.6000","181.9100","175.0500"
"2019/08/01","176.0400","15083510.0000","175.1400","183.9900","172.0000"
"2019/07/31","196.5100","11930610.0000","195.7600","207.0000","193.5000"
"2019/07/30","194.7600","19060400.0000","186.3400","216.9000","183.5000"
"2019/07/29","222.1300","16046960.0000","228.9000","233.8700","201.0000"
"2019/07/26","234.9000","16531270.0000","235.5600","239.7100","215.5000"
"2019/07/25","222.8600","10015780.0000","207.0000","222.8900","205.4500"
"2019/07/24","202.9200","7168721.0000","201.0000","205.5000","197.2100"
"2019/07/23","195.4800","10669200.0000","199.6000","208.4800","191.7800"
"2019/07/22","194.2000","11395380.0000","178.5000","200.8000","177.7600"
"2019/07/19","176.7900","4256226.0000","172.0000","178.5500","170.7700"
"2019/07/18","170.3400","1697334.0000","169.4000","172.4500","167.8100"
"2019/07/17","169.6400","2437299.0000","173.0800","173.4300","168.1064"
"2019/07/16","172.5900","3969125.0000","168.4500","174.6734","167.0100"
"2019/07/15","166.5300","2652904.0000","168.1600","170.7000","166.0000"
"2019/07/12","166.8100","4659902.0000","172.3700","172.4000","164.7500"
"2019/07/11","174.2000","5469460.0000","165.0000","174.2400","163.5500"
"2019/07/10","163.5100","3982862.0000","159.4800","163.8800","158.0000"
"2019/07/09","157.8200","2607748.0000","158.7300","159.5900","154.5100"
"2019/07/08","156.6700","3615535.0000","152.4900","158.9300","152.0000"
"2019/07/05","152.6300","2040339.0000","150.0000","153.7900","148.0561"
"2019/07/03","151.5000","2261049.0000","151.0000","154.0000","148.7000"
"2019/07/02","149.7100","3274872.0000","153.0000","153.7000","147.0200"
"2019/07/01","152.5800","4449296.0000","161.4900","162.4500","152.0000"
"2019/06/28","160.6800","7315297.0000","165.3000","168.8000","159.5500"
"2019/06/27","162.9100","5731421.0000","157.3100","164.7900","155.4500"
"2019/06/26","160.4800","6378629.0000","160.1000","162.2500","153.0200"
"2019/06/25","150.6000","6682929.0000","138.5000","150.6900","138.3425"
"2019/06/24","140.9900","6538497.0000","151.8800","152.7000","138.0000"
"2019/06/21","154.1300","7474586.0000","153.5400","161.7900","150.0000"
"2019/06/20","165.1700","6660492.0000","173.0000","174.0000","163.3000"
"2019/06/19","169.2800","9451961.0000","171.3700","174.4500","162.2500"
"2019/06/18","169.8900","23966910.0000","200.0000","201.8800","160.7000"
"2019/06/17","169.9600","14626680.0000","163.1800","171.1900","160.6111"
"2019/06/14","151.4800","14964550.0000","142.0100","157.9000","141.8000"
"2019/06/13","141.3900","9474562.0000","141.5200","146.4500","134.2500"
"2019/06/12","141.9700","16918630.0000","133.9900","150.4500","131.5632"
"2019/06/11","126.0400","15515980.0000","145.2500","150.0000","125.2300"
"2019/06/10","168.1000","24986040.0000","155.7000","186.4300","147.0000"
"2019/06/07","138.6500","23916750.0000","130.0000","149.4600","120.7600"
"2019/06/06","99.5000","6483991.0000","102.0000","102.2500","98.8500"
"2019/06/05","102.6000","4283474.0000","105.5000","105.5000","99.6400"
"2019/06/04","103.4100","5484873.0000","101.2500","103.5000","97.8200"
"2019/06/03","96.1600","8027710.0000","104.1400","108.6700","95.6620"
"2019/05/31","104.1200","7733863.0000","100.0000","104.5500","97.2600"
"2019/05/30","98.5900","12359810.0000","101.8970","105.2500","94.0300"
"2019/05/29","97.5000","8371994.0000","90.0500","97.6500","87.3200"
"2019/05/28","86.0000","6604012.0000","83.9800","88.8300","83.7000"
"2019/05/24","79.6700","2909494.0000","83.9200","85.5000","79.5100"
"2019/05/23","82.1000","4331336.0000","79.4000","83.8000","78.1227"
"2019/05/22","77.6300","3898382.0000","77.3800","81.7400","77.0000"
"2019/05/21","77.5000","9065090.0000","88.0300","88.7500","76.7600"
"2019/05/20","86.0900","5189713.0000","88.9000","90.9600","83.1300"
"2019/05/17","89.3500","10724060.0000","92.4600","96.6800","85.7100"
"2019/05/16","92.9200","13900340.0000","90.1000","96.7845","89.5100"
"2019/05/15","86.9200","18356210.0000","79.0000","93.0000","74.5500"
"2019/05/14","79.6800","7079600.0000","72.4800","80.7500","71.1200"
"2019/05/13","69.5000","4784517.0000","65.4600","71.9600","63.3600"
"2019/05/10","66.2200","4888033.0000","69.0900","69.3323","61.6000"
"2019/05/09","68.2700","6284516.0000","70.5000","73.2000","67.1000"
"2019/05/08","72.2500","14711810.0000","83.6100","85.3800","70.7850"
"2019/05/07","79.1700","16532100.0000","77.1400","85.4500","75.0000"
"2019/05/06","74.7900","8746178.0000","62.7300","74.8400","62.5000"
"2019/05/03","66.7900","13139370.0000","72.0000","74.0000","65.6600"
"2019/05/02","65.7500","23118970.0000","46.0000","72.9500","45.0000"
